id_escaionamento;entrada;saida;valor_estacionamento;cpf;id_vaga
163;2022-03-08 10:58;2022-03-08 12:43;12.50;763.952.560-84;14
165;2022-03-08 11:36;2022-03-08 13:36;15.00;782.603.942-86;14
168;2022-03-08 12:06;2022-03-08 16:36;20.00;618.874.220-05;14
21;2022-02-26 12:44;2022-02-26 16:14;17.50;900.206.435-78;15
37;2022-02-27 09:14;2022-02-27 12:29;17.50;395.005.819-22;15
72;2022-03-02 11:46;2022-03-02 13:46;15.00;860.466.368-17;15
81;2022-03-03 12:48;2022-03-03 14:33;12.50;395.005.819-22;15
89;2022-03-03 11:35;2022-03-03 15:50;20.00;842.022.641-69;15
125;2022-03-06 11:32;2022-03-06 16:02;20.00;900.206.435-78;15
137;2022-03-06 09:35;2022-03-06 12:50;17.50;037.679.092-00;15
139;2022-03-07 12:40;2022-03-07 15:40;17.50;962.178.727-06;15
147;2022-03-07 08:58;2022-03-07 11:13;15.00;618.874.220-05;15
158;2022-03-08 10:52;2022-03-08 14:52;20.00;694.235.242-06;15
9;2022-02-25 10:40;2022-02-25 12:10;12.50;191.921.293-07;16
44;2022-02-28 12:43;2022-02-28 15:28;15.00;570.776.506-93;16
53;2022-02-28 10:16;2022-02-28 13:16;17.50;645.329.387-08;16
65;2022-03-01 11:56;2022-03-01 14:56;17.50;597.955.221-91;16
71;2022-03-01 10:34;2022-03-01 12:19;12.50;618.874.220-05;16
116;2022-03-05 11:15;2022-03-05 15:30;20.00;288.667.376-58;16
117;2022-03-05 10:50;2022-03-05 12:05;12.50;597.955.221-91;16
162;2022-03-08 10:25;2022-03-08 14:55;20.00;288.667.376-58;16
164;2022-03-08 09:02;2022-03-08 12:32;17.50;746.115.849-09;16
16;2022-02-26 09:23;2022-02-26 11:08;12.50;787.327.017-30;17
48;2022-02-28 11:25;2022-02-28 14:55;17.50;857.950.358-23;17
49;2022-02-28 10:35;2022-02-28 12:20;12.50;763.952.560-84;17
79;2022-03-03 09:53;2022-03-03 11:08;12.50;485.522.339-59;17
84;2022-03-03 11:06;2022-03-03 12:51;12.50;962.178.727-06;17
91;2022-03-04 12:09;2022-03-04 13:09;12.50;694.235.242-06;17
107;2022-03-05 08:56;2022-03-05 09:56;12.50;962.178.727-06;17
141;2022-03-07 10:34;2022-03-07 14:04;17.50;694.235.242-06;17
145;2022-03-07 08:27;2022-03-07 12:27;20.00;286.150.469-21;17
166;2022-03-08 08:06;2022-03-08 11:51;17.50;782.603.942-86;17
5;2022-02-24 08:47;2022-02-24 10:32;12.50;857.950.358-23;18
24;2022-02-26 08:58;2022-02-26 12:28;17.50;618.874.220-05;18
29;2022-02-27 12:57;2022-02-27 15:57;17.50;162.262.067-48;18
42;2022-02-28 12:07;2022-02-28 15:22;17.50;857.950.358-23;18
68;2022-03-01 11:03;2022-03-01 13:33;15.00;891.575.889-70;18
83;2022-03-03 08:12;2022-03-03 10:57;15.00;787.327.017-30;18
100;2022-03-04 10:08;2022-03-04 12:08;15.00;191.921.293-07;18
102;2022-03-04 08:28;2022-03-04 09:43;12.50;395.005.819-22;18
104;2022-03-04 12:32;2022-03-04 14:47;15.00;311.756.371-73;18
122;2022-03-06 12:43;2022-03-06 13:58;12.50;597.955.221-91;18
132;2022-03-06 12:37;2022-03-06 14:37;15.00;597.955.221-91;18
136;2022-03-06 09:11;2022-03-06 13:26;20.00;570.776.506-93;18
152;2022-03-07 09:57;2022-03-07 14:12;20.00;618.874.220-05;18
154;2022-03-07 10:16;2022-03-07 14:16;20.00;763.952.560-84;18
74;2022-03-02 10:33;2022-03-02 15:03;20.00;763.952.560-84;19
82;2022-03-03 10:17;2022-03-03 11:17;12.50;037.679.092-00;19
86;2022-03-03 10:30;2022-03-03 13:15;15.00;857.950.358-23;19
130;2022-03-06 08:32;2022-03-06 10:32;15.00;286.150.469-21;19
146;2022-03-07 12:19;2022-03-07 16:49;20.00;891.575.889-70;19
149;2022-03-07 12:52;2022-03-07 15:37;15.00;300.766.852-25;19
156;2022-03-08 08:01;2022-03-08 11:46;17.50;891.575.889-70;19
161;2022-03-08 11:42;2022-03-08 13:42;15.00;570.776.506-93;19
28;2022-02-27 10:17;2022-02-27 11:32;12.50;570.776.506-93;20
30;2022-02-27 10:43;2022-02-27 13:28;15.00;891.575.889-70;20
51;2022-02-28 10:04;2022-02-28 11:49;12.50;286.150.469-21;20
70;2022-03-01 08:26;2022-03-01 11:41;17.50;286.150.469-21;20
93;2022-03-04 11:55;2022-03-04 15:55;20.00;694.235.242-06;20
96;2022-03-04 10:09;2022-03-04 12:54;15.00;763.952.560-84;20
4;2022-02-24 09:35;2022-02-24 13:20;17.50;286.150.469-21;21
15;2022-02-26 08:21;2022-02-26 10:21;15.00;645.329.387-08;21
25;2022-02-26 10:27;2022-02-26 11:27;12.50;763.952.560-84;21
31;2022-02-27 11:59;2022-02-27 15:29;17.50;782.603.942-86;21
39;2022-02-27 11:30;2022-02-27 14:30;17.50;763.952.560-84;21
47;2022-02-28 08:22;2022-02-28 09:37;12.50;191.921.293-07;21
50;2022-02-28 12:33;2022-02-28 13:48;12.50;842.022.641-69;21
58;2022-03-01 11:37;2022-03-01 16:07;20.00;330.594.014-03;21
59;2022-03-01 10:58;2022-03-01 13:58;17.50;763.952.560-84;21
66;2022-03-01 08:52;2022-03-01 10:52;15.00;485.522.339-59;21
94;2022-03-04 11:09;2022-03-04 12:09;12.50;485.522.339-59;21
105;2022-03-04 11:13;2022-03-04 13:13;15.00;300.766.852-25;21
114;2022-03-05 12:56;2022-03-05 15:11;15.00;746.115.849-09;21
121;2022-03-06 08:02;2022-03-06 12:32;20.00;746.115.849-09;21
123;2022-03-06 12:16;2022-03-06 14:16;15.00;395.005.819-22;21
124;2022-03-06 08:08;2022-03-06 09:23;12.50;597.955.221-91;21
128;2022-03-06 11:26;2022-03-06 12:56;12.50;962.178.727-06;21
131;2022-03-06 09:48;2022-03-06 13:03;17.50;570.776.506-93;21
150;2022-03-07 12:59;2022-03-07 14:44;12.50;645.329.387-08;21
160;2022-03-08 12:10;2022-03-08 16:40;20.00;300.766.852-25;21
167;2022-03-08 10:12;2022-03-08 13:12;17.50;485.522.339-59;21
